manager_id,d_manager,d_club
1e9c5562-0cfc-11ea-abe1-c412f533dba1,manager #8,club #2
43756fa4-57a0-11e9-ab9a-c412f533dba1,manager #11,club #4
543888c4-fbb3-11e9-abdc-c412f533dba1,manager #12,club #3
5dd88f32-6501-11ea-abf3-c412f533dba1,manager #10,club #2
9a87c608-52dc-11ea-abeb-c412f533dba1,manager #9,club #3
abed5496-ca88-11e9-abb8-c412f533dba1,manager #5,club #4
ad52c7a8-a752-11e7-8115-c412f533dba1,manager #7,club #1
b55a233c-5df6-11ea-abf2-c412f533dba1,manager #2,club #4
b832aac3-fcda-11ea-ac18-c412f533dba1,manager #13,club #3
d12fe765-b444-11e9-abb3-c412f533dba1,manager #1,club #1
db06b8bc-bfb2-11e7-8116-c412f533dba1,manager #4,club #2
e463b03f-2d74-11eb-ac1f-c412f533dba1,manager #3,club #1
f44596c6-12cd-11eb-ac1c-c412f533dba1,manager #6,club #2
